Hour,가을,겨울,봄,여름
00,0.4946968563519839,0.1983719841364548,0.29742609500326966,0.7073209925633592
01,0.7866341968868973,0.6233391927333998,0.7070060266500655,0.864862173990913
02,0.4815071995605532,0.586813217760155,0.45247116858619496,0.5640156041989642
03,0.6418626155496042,0.658268967185228,0.5102593487447287,0.6407576104762882
04,0.5784841326227784,0.6744987927461772,0.574715307113274,0.6522817739881651
05,0.6427704570335437,0.6547062689735303,0.6525217320169557,0.6291333580386715
06,0.6591312526111544,0.6397622350604311,0.4985892200512517,0.7630889677473176
07,0.6097098876240588,0.5368512013009812,0.6191990204816281,0.6677236126322764
08,0.4723875364205426,0.6415282697060218,0.7872182940473867,0.7155536322389902
09,0.6222656715516671,0.495883510766572,0.6836217196640113,0.653543243198875
10,0.7437592136813059,0.6862143079971053,0.7606836904883824,0.6729986126823941
11,0.5638577310254203,0.621549505366128,0.4375465635370239,0.5086241701588479
12,0.6074318997363292,0.5671594189745546,0.6467474303905935,0.5645283431026697
13,0.6333274697739504,0.583788109444661,0.5677379467584138,0.5451946197201956
14,0.488520164531298,0.5299038384834243,0.42972141409389947,0.5942273878232815
15,0.42310216617471896,0.4903097549387821,0.5153676454021616,0.5131176337767147
16,0.7148317511623358,0.7848661760471578,0.7280001124672977,0.7649728288005119
17,0.7851915818465963,0.6024998932328607,0.8416639475041626,0.7405395017905926
18,0.6159917793796167,0.5466576501119264,0.659331903721693,0.7748868368469909
19,0.491229414031138,0.47211847766080167,0.6579207594236055,0.5783132873987221
20,0.5875503824590935,0.40721776066316917,0.37206056779205693,0.40768956696945136
21,0.6293000847004171,0.7027927864940141,0.4447505012538627,0.4117858299147441
22,0.6914470263181374,0.3322963643920068,0.6136056019020348,0.4121195080968459
23,0.5530753924194323,0.6279641763331587,0.646439860538633,0.5923166083920044
